"ID","nombre_comun","nombre_cientifico","longitud","latitud","continente","año_plantacion","foto","familia","origen","altura_m","diametro_cm","estado_sanitario","floracion","fructificacion","observaciones","sector","id_relev","destacado","ficha","continente_norm","grupo","nativo_exotico","caduco_perenne","slug"
"ARB063","Corona de novia","Spiraea cantoniensis",-57.681418,-38.05554,"Asia (China)",,,"Rosaceae","Asia",,,,,,,,"Jb21",,,"Asia",,,,"corona-de-novia-arb063"
"ARB064","Cedro","Cedrus sp.",-57.681415,-38.0555,"África / Asia / Europa",,,,,,,,,,,,"Jb22",,,"Varias regiones",,,,"cedro-arb064"
"ARB065","Espino de fuego","Pyracantha coccinea",-57.681349,-38.0556,"Europa / Asia",,,"Rosaceae","Europa, Asia",,,,,,,,"Jb23",,,"Varias regiones",,,,"espino-de-fuego"
"ARB066","Dodonea","Dodonaea viscosa",-57.681177,-38.05523,"Oceanía / América / África",,,"Sapindaceae","Australia",,,,,,,,"Jb24",,,"Varias regiones",,,,"dodonea-arb066"
"ARB067","Ligustro","Ligustrum lucidum",-57.681096,-38.05521,"Asia (China)",,,"Olives","Asia",,,,,,,,"Jb25",,,"Asia",,,,"ligustro-arb067"
"ARB068","Boj","Revisar",-57.680938,-38.05508,"Europa / Asia / África",,,,,,,,,,,,"Jb26",,,"Varias regiones",,,,"boj-arb068"
"ARB069","Eucalipto medicinal","Eucalyptus cinerea",-57.680618,-38.05502,"Oceanía (Australia)",,,"Myrtaceae","Australia",,,,,,,,"Jb27",,,"Oceanía",,,,"eucalipto-medicinal"
"ARB070","Secuoya","Sequoia semprevirens",-57.680501,-38.05503,"América del Norte",,,"Cupressaceae",,,,,,,,,"Jb28",,,"América del Norte","Conífera",,,"secuoya"
"ARB071","Pino insigne","Pinus radiata",-57.680429,-38.05532,"América del Norte",,"Pinoinsignia.jpg","Pinaceae","Norte América",,,,,,,,"Jb29",,,"América del Norte","Conífera",,,"pino-insigne"
"ARB072","Coihue","Nothofagus dombeyi",-57.680601,-38.05529,"América del Sur (Patagonia)",,,"Nothofagaceae","Sudamérica",,,,,,,,"Jb30",,,"América del Sur",,,,"coihue"
"ARB073","Roble pellín","Nothofagus obliqua 2",-57.680985,-38.05553,"América del Sur (Patagonia)",,,"Nothofagaceae","Sudamérica",,,,,,,,"Jb31",,,"América del Sur",,,,"roble-pellin"
"ARB074","Criptomeria","Cryptomeria japónica",-57.681065,-38.05566,"Asia (Japón)",,,"Cupressaceae","Asia",,,,,,,,"Jb32",,,"Asia","Conífera",,,"criptomeria"
"ARB075","Cedro","Cedrus sp.",-57.681297,-38.05593,"África / Asia / Europa",,,,,,,,,,,,"Jb33",,,"Varias regiones",,,,"cedro-arb075"
"ARB076","Ginkgo","Ginkgo biloba",-57.681529,-38.056,"Asia (China)",,,"Ginkgoaceae","Asia",,,,,,,,"Jb34",,,"Asia",,,,"ginkgo"
"ARB077","Eucalipto blanco","Eucalyptus globulus Labill.",-57.681656,-38.05622,"Oceanía (Australia)",,,"Myrtaceae","Australia",,,,,,,,"Jb35",,,"Oceanía",,,,"eucalipto-blanco"
"ARB078","Ahuehuete","Taxodium mucronatum",-57.682174,-38.05649,"América del Norte (México)",,,"Cupressaceae","América Central",,,,,,,,"Jb36",,,"América del Norte","Conífera",,,"ahuehuete-arb078"
"ARB079","Boj común","Fraxinus angustifolia",-57.682552,-38.05608,"Europa / Asia Occidental / África del Norte",,,"Oleaceae","Europa",,,,,,,,"Jb37",,,"Varias regiones",,,,"boj-comun"
"ARB080","Duraznero","Fraxinus exelsior",-57.682554,-38.0561,"Asia (China)",,,"Oleaceae","Europa",,,,,,,,"Jb38",,,"Asia",,,,"duraznero"
"ARB081","Pino radiata","Pinus radiata",-57.682776,-38.05547,"América del Norte",,,"Pinaceae","Norte América",,,,,,,,"Jb39",,,"América del Norte","Conífera",,,"pino-radiata"
"ARB082","Espino","Eucalyptus sp.",-57.68253,-38.05527,"Hemisferio Norte",,,,,,,,,,,,"Jb40",,,"Hemisferio Norte",,,,"espino"
"ARB083","Carex","Celtis tala",-57.681095,-38.05461,"Global",,,"Cannabaceae","Sudamérica",,,,,,,,"Jb41",,,"Cosmopolita",,,,"carex-arb083"
"ARB084","Damasco","Brahea Armata Palmatum",-57.681428,-38.05491,"Asia (Central)",,,"Arecaceae","Norte América",,,,,,,,"Jb42",,,"Asia","Palmera",,,"damasco"
"ARB085","Carex","Celtis tala",-57.681583,-38.05494,"Global",,,"Cannabaceae","Sudamérica",,,,,,,,"Jb43",,,"Cosmopolita",,,,"carex-arb085"
"ARB086","Carex","Celtis tala",-57.681492,-38.05503,"Global",,,"Cannabaceae","Sudamérica",,,,,,,,"Jb44",,,"Cosmopolita",,,,"carex-arb086"
"ARB087","Cedro del Atlas","Cedrus atlantica (Endl.) Manetti ex Carrière",-57.681479,-38.05506,"África (Norte)",,,"Pinaceae","África-Europa",,,,,,,,"Jb45",,,"África","Conífera",,,"cedro-del-atlas-arb087"
"ARB088","Cedro del Atlas","Cedrus atlantica (Endl.) Manetti ex Carrière",-57.681835,-38.05528,"África (Norte)",,,"Pinaceae","África-Europa",,,,,,,,"Jb46",,,"África","Conífera",,,"cedro-del-atlas-arb088"
"ARB089","Ahuehuete","Taxodium mucronatum",-57.681941,-38.05525,"América del Norte",,,"Cupressaceae","América Central",,,,,,,,"Jb47",,,"América del Norte","Conífera",,,"ahuehuete-arb089"
"ARB090","Haya común","Fagus sylvatica",-57.680912,-38.05504,"Europa",,,"Fagaceae","Europa",,,,,,,,"Jb48",,,"Europa",,,,"haya-comun"
"ARB091","Olmo","Quercus sp.",-57.680595,-38.0551,"Hemisferio Norte",,,,,,,,,,,,"Jb49",,,"Hemisferio Norte",,,,"olmo"
